Seguidores,Seguidos
4315,2852
1814,121
3122,1377
3122,1377
4501,1963
16961,1330
2124,2403
269,247
4075,2198
8332,2096
79,92
1369,2925
1571,1085
1289,1096
1289,1096
1378,1061
2725,1421
4501,1963
1061,367
10168,1966
1892,3815
705,524
122315,1469
7786,872
159,174
171,124
1898,795
21211,2412
2089,65
2251,911
1892,3815
3814,2608
2403,1427
213,261
3814,2608
1774,2257
3814,2608
2414,1472
4315,2852
4315,2852
4315,2852
171,124
213,261
716,1316
716,1316
716,1316
34075,4031
11386,987
1892,3815
5951,5890
65,60
65,60
65,60
65,60
2272,2574
716,1316
736,623
208,425
1047,909
109,604
3354,1670
1336,724
196,513
15097,2004
196,513
3354,1670
364,1177
880,723
1009,744
1047,909
21,40
21,40
7892,1745
74,204
21,40
4315,2852
21,40
4315,2852
76,133
222,434
527,1382
4315,2852
163,207
101320,12460
578,865
1892,3815
1892,3815
468,942
15082,7214
1868,1027
701,679
165,503
3122,1377
11386,987
11386,987
1532,156
3446,942
1152,1026
21211,2412
8187,2037
12175,667
309,293
179,327
8187,2037
1791,4364
2146,1866
1814,1358
182,382
1920,1951
7247,1177
1814,1358
21211,2412
10662,3567
10662,3567
4315,2852
3128,2016
151,169
1,677
606,243
271,209
7890,1739
95,198
3062,2751
2565,1065
4866,3807
903,991
2168,1436
705,524
4670,527
4902,1711
13,16
170,438
1358,944
